,California and Steiner Lot,MISSION ST 2000,MISSION ST 2100,MISSION ST 2200,MISSION ST 2300
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,1.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,1.0,1.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,2.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,1.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,1.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,2.0,0.0,1.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,1.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0
126,0.0,1.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0,2.0
129,4.0,0.0,1.0,3.0,2.0
130,6.0,2.0,2.0,3.0,2.0
131,10.0,2.0,9.0,9.0,3.0
132,14.0,16.0,12.0,13.0,6.0
133,18.0,22.0,12.0,14.0,11.0
134,24.0,22.0,15.0,16.0,11.0
135,37.0,27.0,19.0,16.0,14.0
136,42.0,35.0,22.0,14.0,16.0
137,44.0,32.0,27.0,19.0,14.0
138,45.0,32.0,25.0,19.0,17.0
139,52.0,35.0,23.0,25.0,14.0
140,58.0,30.0,25.0,28.0,16.0
141,58.0,25.0,30.0,28.0,13.0
142,58.0,34.0,35.0,34.0,11.0
143,54.0,33.0,31.0,36.0,12.0
144,59.0,35.0,23.0,33.0,15.0
145,63.0,31.0,20.0,34.0,15.0
146,66.0,24.0,26.0,39.0,11.0
147,64.0,18.0,26.0,34.0,10.0
148,68.0,35.0,31.0,25.0,7.0
149,60.0,35.0,37.0,26.0,9.0
150,61.0,37.0,35.0,23.0,8.0
151,64.0,31.0,39.0,25.0,8.0
152,59.0,33.0,32.0,27.0,8.0
153,53.0,34.0,29.0,29.0,13.0
154,45.0,32.0,27.0,30.0,15.0
155,49.0,38.0,28.0,30.0,9.0
156,48.0,36.0,30.0,30.0,13.0
157,47.0,37.0,25.0,27.0,20.0
158,44.0,38.0,25.0,28.0,17.0
159,48.0,41.0,34.0,24.0,17.0
160,51.0,44.0,31.0,22.0,17.0
161,48.0,33.0,23.0,26.0,25.0
162,52.0,29.0,27.0,24.0,19.0
163,51.0,28.0,30.0,27.0,15.0
164,42.0,31.0,30.0,33.0,15.0
165,39.0,25.0,29.0,31.0,20.0
166,36.0,26.0,32.0,30.0,18.0
167,38.0,27.0,28.0,30.0,15.0
168,33.0,16.0,20.0,22.0,10.0
169,25.0,0.0,0.0,0.0,2.0
170,30.0,0.0,0.0,1.0,0.0
171,33.0,0.0,0.0,0.0,0.0
172,30.0,0.0,0.0,0.0,0.0
173,43.0,1.0,0.0,0.0,0.0
174,38.0,0.0,0.0,0.0,0.0
175,30.0,0.0,0.0,0.0,0.0
176,25.0,0.0,0.0,0.0,0.0
177,26.0,0.0,0.0,0.0,0.0
178,24.0,0.0,0.0,0.0,0.0
179,18.0,0.0,0.0,0.0,0.0
180,12.0,0.0,0.0,0.0,0.0
181,9.0,0.0,0.0,0.0,0.0
182,9.0,0.0,0.0,0.0,0.0
183,8.0,0.0,0.0,0.0,0.0
184,6.0,0.0,0.0,0.0,0.0
185,4.0,0.0,0.0,0.0,0.0
186,1.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0
221,1.0,0.0,0.0,1.0,0.0
222,1.0,0.0,0.0,0.0,0.0
223,1.0,2.0,0.0,0.0,0.0
224,5.0,1.0,0.0,0.0,0.0
225,7.0,1.0,0.0,1.0,1.0
226,11.0,3.0,1.0,2.0,1.0
227,17.0,8.0,1.0,6.0,3.0
228,43.0,15.0,4.0,10.0,4.0
229,48.0,20.0,3.0,8.0,8.0
230,53.0,19.0,8.0,10.0,9.0
231,57.0,19.0,19.0,18.0,8.0
232,62.0,17.0,17.0,12.0,8.0
233,59.0,24.0,18.0,11.0,8.0
234,58.0,24.0,17.0,7.0,9.0
235,55.0,21.0,15.0,9.0,10.0
236,58.0,25.0,16.0,14.0,11.0
237,58.0,23.0,21.0,22.0,15.0
238,58.0,14.0,22.0,26.0,12.0
239,56.0,14.0,27.0,29.0,7.0
240,59.0,17.0,30.0,30.0,8.0
241,50.0,18.0,33.0,34.0,8.0
242,50.0,14.0,30.0,30.0,9.0
243,52.0,18.0,31.0,31.0,7.0
244,55.0,23.0,29.0,30.0,6.0
245,55.0,26.0,33.0,27.0,7.0
246,59.0,21.0,34.0,29.0,11.0
247,56.0,20.0,32.0,31.0,17.0
248,56.0,16.0,27.0,28.0,12.0
249,61.0,15.0,33.0,32.0,12.0
250,57.0,14.0,31.0,34.0,11.0
251,57.0,15.0,36.0,42.0,5.0
252,53.0,13.0,37.0,40.0,11.0
253,58.0,16.0,38.0,38.0,10.0
254,61.0,20.0,37.0,32.0,10.0
255,53.0,24.0,40.0,35.0,15.0
256,51.0,37.0,40.0,41.0,22.0
257,53.0,40.0,36.0,34.0,23.0
258,58.0,42.0,37.0,32.0,15.0
259,56.0,33.0,33.0,35.0,20.0
260,59.0,29.0,27.0,41.0,19.0
261,56.0,33.0,34.0,43.0,25.0
262,57.0,30.0,35.0,44.0,31.0
263,56.0,22.0,26.0,36.0,19.0
264,54.0,12.0,21.0,23.0,12.0
265,45.0,1.0,2.0,0.0,1.0
266,42.0,0.0,0.0,2.0,0.0
267,38.0,1.0,0.0,0.0,0.0
268,34.0,0.0,0.0,1.0,0.0
269,37.0,0.0,0.0,0.0,0.0
270,33.0,0.0,0.0,0.0,0.0
271,39.0,1.0,0.0,0.0,0.0
272,35.0,0.0,0.0,0.0,0.0
273,30.0,0.0,0.0,0.0,0.0
274,29.0,0.0,0.0,0.0,0.0
275,24.0,0.0,0.0,0.0,0.0
276,15.0,0.0,0.0,0.0,0.0
277,12.0,0.0,0.0,0.0,0.0
278,7.0,0.0,0.0,0.0,0.0
279,5.0,0.0,0.0,0.0,0.0
280,2.0,0.0,0.0,0.0,0.0
281,1.0,0.0,0.0,0.0,0.0
282,1.0,0.0,1.0,0.0,0.0
283,1.0,0.0,0.0,0.0,0.0
284,1.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0
301,0.0,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0
316,0.0,1.0,0.0,0.0,0.0
317,2.0,0.0,0.0,0.0,0.0
318,2.0,0.0,0.0,0.0,0.0
319,2.0,1.0,0.0,0.0,0.0
320,2.0,0.0,1.0,0.0,0.0
321,3.0,0.0,2.0,0.0,0.0
322,5.0,3.0,5.0,0.0,1.0
323,17.0,5.0,6.0,1.0,3.0
324,21.0,17.0,11.0,7.0,3.0
325,30.0,23.0,12.0,4.0,4.0
326,34.0,19.0,8.0,12.0,5.0
327,39.0,19.0,11.0,15.0,12.0
328,45.0,18.0,9.0,18.0,16.0
329,48.0,22.0,13.0,20.0,17.0
330,54.0,18.0,23.0,21.0,16.0
331,61.0,17.0,29.0,25.0,14.0
332,63.0,23.0,26.0,29.0,12.0
333,61.0,29.0,30.0,34.0,12.0
334,61.0,33.0,39.0,33.0,12.0
335,61.0,25.0,34.0,30.0,12.0
336,60.0,21.0,38.0,27.0,12.0
337,58.0,23.0,40.0,28.0,8.0
338,57.0,25.0,37.0,31.0,9.0
339,60.0,23.0,30.0,32.0,11.0
340,64.0,23.0,30.0,28.0,13.0
341,65.0,25.0,29.0,26.0,10.0
342,59.0,31.0,31.0,30.0,9.0
343,60.0,28.0,31.0,28.0,10.0
344,55.0,26.0,31.0,32.0,12.0
345,56.0,19.0,33.0,33.0,16.0
346,58.0,19.0,32.0,26.0,20.0
347,61.0,19.0,33.0,29.0,14.0
348,56.0,30.0,30.0,34.0,15.0
349,56.0,33.0,27.0,30.0,17.0
350,57.0,32.0,19.0,19.0,17.0
351,56.0,27.0,21.0,22.0,15.0
352,53.0,30.0,21.0,24.0,18.0
353,58.0,33.0,22.0,20.0,20.0
354,56.0,35.0,32.0,21.0,21.0
355,55.0,28.0,26.0,32.0,21.0
356,54.0,29.0,25.0,30.0,21.0
357,56.0,28.0,34.0,26.0,24.0
358,56.0,24.0,36.0,28.0,22.0
359,52.0,19.0,34.0,32.0,18.0
360,55.0,13.0,19.0,19.0,12.0
361,53.0,2.0,0.0,2.0,0.0
362,59.0,0.0,1.0,0.0,1.0
363,51.0,0.0,0.0,0.0,0.0
364,47.0,0.0,0.0,0.0,0.0
365,52.0,2.0,0.0,0.0,0.0
366,42.0,0.0,0.0,0.0,0.0
367,44.0,0.0,0.0,0.0,0.0
368,34.0,0.0,0.0,0.0,0.0
369,34.0,0.0,0.0,0.0,0.0
370,27.0,0.0,0.0,0.0,0.0
371,25.0,0.0,0.0,0.0,0.0
372,19.0,1.0,0.0,0.0,0.0
373,17.0,0.0,0.0,0.0,0.0
374,15.0,0.0,0.0,0.0,0.0
375,17.0,0.0,0.0,0.0,0.0
376,14.0,0.0,0.0,0.0,0.0
377,10.0,0.0,0.0,0.0,0.0
378,9.0,0.0,0.0,0.0,0.0
379,6.0,0.0,0.0,0.0,0.0
380,2.0,0.0,0.0,0.0,0.0
381,3.0,0.0,0.0,0.0,0.0
382,2.0,0.0,0.0,0.0,0.0
383,2.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,2.0,0.0
396,0.0,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,0.0
409,0.0,0.0,0.0,0.0,0.0
410,0.0,0.0,0.0,0.0,0.0
411,0.0,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0
413,2.0,0.0,0.0,0.0,0.0
414,2.0,0.0,1.0,0.0,0.0
415,2.0,0.0,0.0,0.0,0.0
416,3.0,1.0,2.0,1.0,1.0
417,4.0,3.0,3.0,1.0,1.0
418,10.0,6.0,4.0,3.0,4.0
419,21.0,9.0,4.0,4.0,6.0
420,39.0,18.0,11.0,8.0,8.0
421,40.0,21.0,17.0,10.0,5.0
422,45.0,23.0,16.0,10.0,6.0
423,48.0,25.0,15.0,15.0,4.0
424,47.0,34.0,18.0,22.0,7.0
425,46.0,38.0,27.0,20.0,8.0
426,45.0,32.0,26.0,21.0,5.0
427,48.0,36.0,28.0,20.0,5.0
428,50.0,37.0,24.0,18.0,6.0
429,54.0,38.0,24.0,19.0,8.0
430,49.0,34.0,25.0,29.0,8.0
431,51.0,39.0,27.0,34.0,9.0
432,54.0,35.0,36.0,29.0,13.0
433,58.0,46.0,41.0,28.0,15.0
434,64.0,45.0,36.0,26.0,16.0
435,60.0,37.0,33.0,24.0,16.0
436,57.0,36.0,31.0,21.0,14.0
437,53.0,32.0,29.0,27.0,10.0
438,59.0,31.0,29.0,32.0,13.0
439,57.0,35.0,33.0,26.0,17.0
440,51.0,35.0,32.0,26.0,17.0
441,50.0,32.0,28.0,29.0,16.0
442,45.0,26.0,30.0,27.0,16.0
443,48.0,22.0,31.0,28.0,13.0
444,52.0,28.0,35.0,28.0,11.0
445,57.0,40.0,34.0,28.0,18.0
446,53.0,32.0,39.0,29.0,15.0
447,57.0,35.0,31.0,27.0,28.0
448,51.0,36.0,36.0,23.0,24.0
449,52.0,33.0,37.0,20.0,28.0
450,53.0,36.0,40.0,25.0,23.0
451,57.0,35.0,35.0,28.0,26.0
452,61.0,22.0,35.0,31.0,32.0
453,58.0,31.0,31.0,32.0,31.0
454,57.0,27.0,34.0,30.0,30.0
455,61.0,24.0,34.0,33.0,23.0
456,55.0,15.0,28.0,23.0,16.0
457,48.0,1.0,4.0,0.0,0.0
458,53.0,0.0,0.0,0.0,0.0
459,49.0,0.0,0.0,0.0,0.0
460,49.0,1.0,1.0,0.0,0.0
461,47.0,0.0,0.0,0.0,1.0
462,50.0,0.0,0.0,0.0,0.0
463,44.0,0.0,0.0,0.0,0.0
464,40.0,0.0,0.0,0.0,0.0
465,39.0,0.0,0.0,0.0,0.0
466,35.0,0.0,0.0,0.0,0.0
467,27.0,0.0,0.0,0.0,0.0
468,24.0,0.0,0.0,0.0,0.0
469,21.0,0.0,0.0,0.0,0.0
470,20.0,0.0,0.0,0.0,0.0
471,16.0,0.0,0.0,0.0,0.0
472,13.0,0.0,0.0,0.0,0.0
473,7.0,0.0,0.0,0.0,0.0
474,6.0,0.0,0.0,0.0,0.0
475,2.0,0.0,0.0,0.0,0.0
476,2.0,0.0,0.0,0.0,0.0
477,1.0,0.0,0.0,0.0,0.0
478,1.0,0.0,0.0,0.0,0.0
479,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0
484,0.0,0.0,0.0,0.0,0.0
485,0.0,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,0.0,0.0
488,0.0,0.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0
491,0.0,0.0,0.0,0.0,0.0
492,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0,0.0
494,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0
502,0.0,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,0.0
504,0.0,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0,1.0
507,0.0,0.0,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0,0.0
510,0.0,0.0,0.0,0.0,0.0
511,0.0,0.0,1.0,1.0,0.0
512,0.0,1.0,1.0,3.0,0.0
513,3.0,1.0,1.0,3.0,3.0
514,8.0,7.0,1.0,3.0,4.0
515,11.0,8.0,1.0,2.0,4.0
516,25.0,16.0,4.0,8.0,4.0
517,24.0,21.0,10.0,13.0,1.0
518,32.0,28.0,19.0,11.0,4.0
519,46.0,27.0,22.0,13.0,4.0
520,51.0,32.0,32.0,14.0,8.0
521,52.0,41.0,27.0,13.0,14.0
522,51.0,35.0,25.0,16.0,10.0
523,57.0,32.0,28.0,25.0,8.0
524,61.0,37.0,35.0,30.0,9.0
525,66.0,40.0,38.0,34.0,7.0
526,65.0,35.0,32.0,34.0,9.0
527,60.0,36.0,30.0,36.0,6.0
528,58.0,32.0,32.0,31.0,11.0
529,57.0,30.0,31.0,27.0,10.0
530,60.0,35.0,28.0,35.0,12.0
531,57.0,41.0,30.0,33.0,9.0
532,61.0,42.0,37.0,33.0,10.0
533,57.0,36.0,41.0,28.0,10.0
534,61.0,48.0,35.0,27.0,15.0
535,63.0,44.0,29.0,32.0,14.0
536,61.0,42.0,27.0,30.0,12.0
537,60.0,43.0,33.0,26.0,17.0
538,60.0,44.0,52.0,26.0,14.0
539,56.0,42.0,49.0,22.0,12.0
540,53.0,42.0,43.0,24.0,15.0
541,52.0,39.0,37.0,30.0,17.0
542,55.0,45.0,39.0,35.0,20.0
543,49.0,46.0,37.0,39.0,34.0
544,49.0,44.0,40.0,36.0,46.0
545,50.0,43.0,40.0,30.0,43.0
546,60.0,34.0,33.0,34.0,34.0
547,61.0,48.0,38.0,30.0,32.0
548,56.0,44.0,39.0,32.0,33.0
549,59.0,34.0,38.0,35.0,36.0
550,54.0,35.0,39.0,42.0,34.0
551,53.0,29.0,35.0,35.0,32.0
552,48.0,15.0,25.0,26.0,18.0
553,45.0,0.0,0.0,0.0,1.0
554,43.0,0.0,0.0,0.0,0.0
555,44.0,0.0,0.0,0.0,0.0
556,43.0,0.0,0.0,0.0,0.0
557,47.0,1.0,0.0,0.0,0.0
558,42.0,0.0,0.0,0.0,0.0
559,36.0,0.0,0.0,0.0,0.0
560,38.0,0.0,0.0,0.0,0.0
561,36.0,0.0,0.0,0.0,0.0
562,30.0,0.0,0.0,0.0,0.0
563,24.0,0.0,0.0,0.0,0.0
564,23.0,0.0,0.0,0.0,0.0
565,20.0,0.0,0.0,0.0,0.0
566,19.0,0.0,0.0,0.0,0.0
567,20.0,0.0,0.0,0.0,0.0
568,19.0,0.0,0.0,0.0,0.0
569,15.0,0.0,0.0,0.0,0.0
570,9.0,0.0,0.0,0.0,0.0
571,8.0,0.0,0.0,0.0,0.0
572,6.0,0.0,0.0,0.0,0.0
573,4.0,0.0,0.0,0.0,0.0
574,3.0,0.0,0.0,0.0,0.0
575,2.0,0.0,0.0,0.0,0.0
576,0.0,0.0,0.0,0.0,0.0
577,0.0,0.0,0.0,0.0,0.0
578,0.0,0.0,0.0,0.0,0.0
579,0.0,0.0,0.0,0.0,0.0
580,0.0,0.0,0.0,0.0,0.0
581,0.0,0.0,0.0,0.0,0.0
582,0.0,0.0,0.0,0.0,0.0
583,0.0,0.0,1.0,0.0,0.0
584,0.0,0.0,0.0,0.0,0.0
585,0.0,0.0,0.0,0.0,0.0
586,0.0,0.0,0.0,0.0,0.0
587,0.0,0.0,0.0,0.0,0.0
588,0.0,0.0,0.0,0.0,0.0
589,0.0,0.0,0.0,0.0,0.0
590,0.0,0.0,0.0,0.0,0.0
591,0.0,0.0,0.0,0.0,0.0
592,0.0,0.0,0.0,0.0,0.0
593,0.0,0.0,0.0,0.0,0.0
594,0.0,0.0,0.0,0.0,0.0
595,0.0,0.0,0.0,0.0,0.0
596,0.0,0.0,0.0,0.0,0.0
597,0.0,0.0,0.0,0.0,0.0
598,0.0,0.0,0.0,0.0,0.0
599,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0,0.0
603,0.0,0.0,0.0,0.0,0.0
604,0.0,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0,0.0
606,0.0,0.0,0.0,0.0,0.0
607,0.0,0.0,0.0,0.0,0.0
608,0.0,2.0,0.0,0.0,0.0
609,1.0,2.0,0.0,0.0,0.0
610,5.0,2.0,2.0,5.0,1.0
611,6.0,4.0,4.0,9.0,2.0
612,9.0,16.0,8.0,16.0,5.0
613,12.0,20.0,13.0,20.0,7.0
614,13.0,19.0,18.0,27.0,5.0
615,24.0,28.0,21.0,25.0,5.0
616,30.0,32.0,23.0,20.0,13.0
617,30.0,34.0,23.0,19.0,18.0
618,33.0,34.0,25.0,18.0,17.0
619,46.0,37.0,29.0,22.0,19.0
620,52.0,32.0,32.0,26.0,17.0
621,52.0,31.0,37.0,29.0,20.0
622,54.0,35.0,38.0,31.0,26.0
623,54.0,32.0,40.0,37.0,22.0
624,62.0,28.0,44.0,44.0,16.0
625,55.0,23.0,50.0,45.0,22.0
626,62.0,36.0,41.0,47.0,26.0
627,62.0,40.0,35.0,44.0,27.0
628,65.0,43.0,40.0,39.0,24.0
629,64.0,40.0,38.0,38.0,20.0
630,58.0,52.0,41.0,40.0,29.0
