,BEACH ST 200,BEACH ST 300,BEACH ST 400,BEACH ST 600,BEACH ST 700,BEACH ST 800,COLUMBUS AVE 1300,HYDE ST 2800,JONES ST 2600,JONES ST 2700,JONES ST 2800,LARKIN ST 3000,LEAVENWORTH ST 2700,MASON ST 2600,NORTH POINT ST 900,POLK ST 3100,POWELL ST 2400,TAYLOR ST 2700
40,5.0,9.0,7.0,4.0,17.0,10.0,10.0,4.0,4.0,3.0,5.0,1.0,14.0,4.0,1.0,5.0,4.0,6.0
41,5.0,9.0,7.0,7.0,19.0,10.0,12.0,3.0,2.0,7.0,5.0,2.0,12.0,4.0,2.0,7.0,5.0,6.0
42,10.0,6.0,11.0,7.0,26.0,13.0,14.0,7.0,3.0,7.0,4.0,8.0,12.0,5.0,2.0,8.0,5.0,6.0
43,9.0,8.0,14.0,10.0,29.0,17.0,16.0,5.0,5.0,8.0,5.0,10.0,13.0,1.0,10.0,12.0,6.0,8.0
44,9.0,8.0,18.0,12.0,35.0,21.0,17.0,4.0,5.0,10.0,6.0,18.0,10.0,3.0,20.0,16.0,8.0,11.0
45,9.0,7.0,19.0,8.0,31.0,21.0,18.0,4.0,4.0,11.0,6.0,17.0,13.0,3.0,23.0,15.0,13.0,10.0
46,8.0,7.0,20.0,10.0,33.0,23.0,18.0,4.0,5.0,13.0,7.0,24.0,13.0,2.0,23.0,14.0,18.0,12.0
47,5.0,10.0,19.0,11.0,34.0,24.0,18.0,4.0,4.0,14.0,7.0,31.0,16.0,2.0,21.0,15.0,20.0,14.0
48,3.0,8.0,20.0,9.0,33.0,26.0,20.0,4.0,4.0,20.0,8.0,31.0,17.0,6.0,19.0,15.0,18.0,14.0
49,6.0,7.0,16.0,8.0,34.0,27.0,25.0,9.0,4.0,14.0,13.0,22.0,16.0,6.0,22.0,14.0,19.0,13.0
50,9.0,8.0,20.0,8.0,30.0,22.0,25.0,10.0,5.0,14.0,12.0,22.0,15.0,6.0,27.0,15.0,20.0,14.0
51,9.0,12.0,23.0,9.0,22.0,27.0,23.0,8.0,5.0,12.0,11.0,22.0,12.0,7.0,26.0,17.0,17.0,14.0
52,8.0,13.0,21.0,11.0,17.0,29.0,27.0,4.0,9.0,16.0,13.0,20.0,11.0,7.0,18.0,19.0,18.0,16.0
53,8.0,13.0,25.0,10.0,39.0,28.0,26.0,4.0,16.0,17.0,11.0,26.0,9.0,5.0,17.0,20.0,21.0,21.0
54,9.0,10.0,22.0,10.0,33.0,24.0,29.0,3.0,15.0,18.0,11.0,22.0,11.0,4.0,17.0,17.0,18.0,19.0
55,10.0,13.0,25.0,13.0,26.0,24.0,29.0,5.0,12.0,16.0,9.0,28.0,13.0,5.0,12.0,15.0,16.0,17.0
56,11.0,14.0,20.0,16.0,25.0,28.0,30.0,5.0,13.0,16.0,8.0,24.0,9.0,8.0,13.0,21.0,22.0,17.0
57,7.0,14.0,18.0,13.0,29.0,32.0,32.0,4.0,15.0,16.0,10.0,25.0,11.0,9.0,16.0,21.0,23.0,19.0
58,6.0,14.0,18.0,8.0,25.0,29.0,28.0,4.0,16.0,16.0,7.0,21.0,14.0,9.0,20.0,19.0,20.0,19.0
59,7.0,14.0,15.0,8.0,26.0,26.0,29.0,5.0,16.0,17.0,10.0,20.0,13.0,9.0,18.0,19.0,19.0,16.0
60,9.0,13.0,15.0,14.0,34.0,26.0,23.0,5.0,17.0,17.0,9.0,15.0,12.0,12.0,14.0,17.0,17.0,17.0
61,9.0,13.0,17.0,15.0,25.0,25.0,30.0,5.0,14.0,14.0,7.0,17.0,12.0,14.0,15.0,20.0,16.0,15.0
62,9.0,13.0,17.0,16.0,27.0,23.0,31.0,4.0,12.0,12.0,6.0,17.0,15.0,12.0,17.0,18.0,17.0,16.0
63,11.0,13.0,19.0,14.0,29.0,20.0,35.0,4.0,7.0,12.0,10.0,21.0,13.0,11.0,17.0,16.0,20.0,14.0
64,11.0,10.0,24.0,15.0,27.0,29.0,31.0,5.0,6.0,12.0,9.0,19.0,15.0,11.0,19.0,17.0,17.0,15.0
65,8.0,10.0,23.0,16.0,33.0,25.0,27.0,6.0,6.0,17.0,13.0,21.0,21.0,11.0,17.0,15.0,17.0,14.0
66,8.0,8.0,25.0,14.0,30.0,24.0,30.0,5.0,6.0,19.0,12.0,16.0,20.0,9.0,14.0,17.0,19.0,9.0
67,9.0,8.0,29.0,14.0,27.0,20.0,39.0,5.0,6.0,19.0,7.0,17.0,18.0,6.0,14.0,16.0,18.0,9.0
68,11.0,5.0,31.0,14.0,29.0,18.0,37.0,5.0,8.0,19.0,6.0,21.0,16.0,7.0,14.0,19.0,15.0,13.0
69,9.0,6.0,27.0,12.0,26.0,22.0,26.0,4.0,7.0,18.0,6.0,18.0,15.0,9.0,15.0,22.0,16.0,14.0
70,9.0,7.0,25.0,17.0,33.0,26.0,30.0,4.0,7.0,16.0,5.0,18.0,20.0,10.0,15.0,25.0,15.0,13.0
71,8.0,6.0,23.0,14.0,35.0,24.0,27.0,5.0,7.0,12.0,5.0,24.0,21.0,14.0,14.0,22.0,18.0,12.0
72,8.0,7.0,22.0,11.0,29.0,23.0,25.0,5.0,6.0,9.0,7.0,22.0,22.0,14.0,13.0,21.0,22.0,13.0
