,name
34,BAY ST 300
35,BAY ST 400
36,BAY ST 500
40,BEACH ST 500
72,COLUMBUS AVE 1200
162,LEAVENWORTH ST 2800
174,MASON ST 2400
175,MASON ST 2500
199,NORTH POINT ST 100
200,NORTH POINT ST 200
201,NORTH POINT ST 300
202,NORTH POINT ST 400
203,NORTH POINT ST 500
204,NORTH POINT ST 600
221,POWELL ST 2300
241,STOCKTON ST 2300
244,TAYLOR ST 2500
245,TAYLOR ST 2600
