lot,location
HARRISON ST 100,"(37.781794, -122.3983653)"
HARRISON ST 500,"(37.7867734, -122.3920702)"
HARRISON ST 600,"(37.7842467, -122.395581)"
HARRISON ST 800,"(37.7786114, -122.4023944)"
HAWTHORNE ST 0,"(37.7846577, -122.3978415)"
HAWTHORNE ST 100,"(37.784522, -122.397775)"
HAYES ST 0,"(37.7775161, -122.4180638)"
HAYES ST 100,"(37.777573, -122.418213)"
HAYES ST 300,"(37.777153, -122.4215)"
HAYES ST 400,"(37.776946, -122.423148)"
HAYES ST 500,"(37.7767784, -122.424801)"
HICKORY ST 0,"(37.7748632, -122.4276457)"
HICKORY ST 100,"(37.775757, -122.421223)"
HOFF ST 0,"(37.764996, -122.420581)"
HOWARD ST 0,"(37.7915902, -122.3921487)"
HOWARD ST 100,"(37.7895831, -122.3947068)"
HOWARD ST 500,"(37.78850945, -122.396723523076)"
HOWARD ST 600,"(37.7834778, -122.4024182)"
HYDE ST 2800,"(37.806793, -122.420481)"
JACKSON ST 0,"(37.7963079, -122.4044278)"
JACKSON ST 100,"(37.7967813, -122.4007017)"
JACKSON ST 200,"(37.7969945, -122.3996909)"
JACKSON ST 2300,"(37.792742, -122.433088)"
JACKSON ST 2400,"(37.792534, -122.434728)"
JACKSON ST 300,"(37.7967813, -122.4007017)"
JACKSON ST 400,"(37.796687, -122.402023)"
JONES ST 2600,"(37.805347, -122.41681)"
JONES ST 2700,"(37.806276, -122.416998)"
JONES ST 2800,"(37.807208, -122.417182)"
KAPLAN LN 0,"(37.7851262, -122.3992037)"
KING ST 100,"(37.7789084505495, -122.39043128022)"
KING ST 300,"(37.7754097, -122.3954214)"
LAGUNA ST 1500,"(37.8033875, -122.4315761)"
LAGUNA ST 1600,"(37.8033875, -122.4315761)"
LAPU-LAPU ST 0,"(37.7822304, -122.3989063)"
LARKIN ST 0,"(37.7823844, -122.41736)"
LARKIN ST 100,"(37.779095, -122.415743677851)"
LARKIN ST 200,"(37.7802891, -122.415972823514)"
LARKIN ST 300,"(37.780605, -122.41687)"
LARKIN ST 3000,"(37.805632, -122.421929)"
LEAVENWORTH ST 2700,"(37.806376, -122.418704)"
LEAVENWORTH ST 2800,"(37.806997, -122.418828)"
LECH WALESA ST 0,"(37.777974, -122.4181563)"
LOMBARD ST 2000,"(37.802076, -122.4188091)"
LOMBARD ST 2100,"(37.802076, -122.4188091)"
LOMBARD ST 2200,"(37.802076, -122.4188091)"
LOMBARD ST 2300,"(37.802076, -122.4188091)"
LOMBARD ST 2400,"(37.802076, -122.4188091)"
MAIN ST 100,"(37.791696, -122.394904)"
MAIN ST 300,"(37.789223, -122.391822)"
MALLORCA WAY 0,"(37.8025629, -122.4380059)"
MARKET ST 0,"(37.763966, -122.4332912)"
MASON ST 2300,"(37.804818, -122.413349)"
MASON ST 2400,"(37.805753, -122.413525)"
MASON ST 2500,"(37.80720475, -122.412906735295)"
MASON ST 2600,"(37.807618, -122.413897)"
MCALLISTER ST 200,"(37.7808388, -122.4156392)"
MCALLISTER ST 300,"(37.780532, -122.417118)"
MCALLISTER ST 400,"(37.780323, -122.418768)"
MCALLISTER ST 500,"(37.7802044516129, -122.419779290323)"
MERCHANT ST 400,"(37.795511, -122.400583)"
MISSION ST 0,"(37.7937635, -122.3925413)"
MISSION ST 100,"(37.7892359, -122.3980293)"
MISSION ST 200,"(37.7724921, -122.4188648)"
MISSION ST 2000,"(37.764922, -122.419761)"
MISSION ST 2100,"(37.7937635, -122.3925413)"
MISSION ST 2200,"(37.7616133, -122.4197085)"
MISSION ST 2300,"(37.7937635, -122.3925413)"
MISSION ST 2400,"(37.7585168, -122.4192442)"
MISSION ST 2500,"(37.7568974, -122.4190594)"
MISSION ST 2600,"(37.7724921, -122.4188648)"
MISSION ST 300,"(37.7937635, -122.3925413)"
MISSION ST 400,"(37.7724921, -122.4188648)"
MISSION ST 500,"(37.7937635, -122.3925413)"
MISSION ST 600,"(37.7937635, -122.3925413)"
MONTGOMERY ST 600,"(37.79520055, -122.402792678401)"
MONTGOMERY ST 700,"(37.795613, -122.4032544)"
NATOMA ST 100,"(37.787173, -122.398973)"
