,name
0,01ST ST 200
2,02ND ST 200
3,02ND ST 300
33,BATTERY ST 500
82,FILLMORE ST 1200
97,FOLSOM ST 500
125,HAWTHORNE ST 0
137,HOWARD ST 500
138,HOWARD ST 600
145,JACKSON ST 300
146,JACKSON ST 400
172,MARKET ST 0
197,MONTGOMERY ST 700
206,OAK ST 0
223,REDWOOD ST 100
228,SANSOME ST 600
234,SPEAR ST 300
247,TEHAMA ST 100
261,VAN NESS AVE 0
275,WASHINGTON ST 400
276,WASHINGTON ST 500
