,name
6,02ND ST 600
7,02ND ST 700
11,03RD ST 600
12,03RD ST 700
14,04TH ST 500
15,04TH ST 600
44,BERRY ST 100
45,BERRY ST 200
46,BERRY ST 300
47,BERRY ST 400
120,HARRISON ST 0
121,HARRISON ST 100
151,KING ST 100
152,KING ST 300
224,RITCH ST 300
235,SPEAR ST 400
248,TOWNSEND ST 0
249,TOWNSEND ST 100
250,TOWNSEND ST 200
