,name
16,05TH ST 400
98,FOLSOM ST 600
109,GOLDEN GATE AVE 600
123,HARRISON ST 600
124,HARRISON ST 800
126,HAWTHORNE ST 100
142,JACKSON ST 200
150,KAPLAN LN 0
155,LAPU-LAPU ST 0
163,LECH WALESA ST 0
170,MAIN ST 300
208,OFARRELL ST 1700
262,VAN NESS AVE 100
265,VAN NESS AVE 400
266,VAN NESS AVE 500
267,VAN NESS AVE 600
270,WASHINGTON ST 100
