,name
31,BARTLETT ST 0
75,DAVIS ST 300
81,FILLMORE ST 1100
95,FILLMORE ST 3300
111,GOUGH ST 200
112,GOUGH ST 300
115,GOUGH ST 800
116,GOUGH ST 900
133,HICKORY ST 100
192,MISSION ST 300
193,MISSION ST 400
194,MISSION ST 500
195,MISSION ST 600
196,MONTGOMERY ST 600
227,SANSOME ST 500
237,STEINER ST 1600
