,name
19,16TH ST 3000
20,16TH ST 3100
21,17TH ST 3300
22,18TH ST 3400
23,19TH ST 3400
24,20TH ST 3500
27,23RD ST 3300
28,ASH ST 300
56,BUCHANAN ST 1800
67,CLAY ST 2400
87,FILLMORE ST 1700
101,FRANKLIN ST 300
107,GEARY BLVD 1700
113,GOUGH ST 400
114,GOUGH ST 500
119,GROVE ST 300
129,HAYES ST 300
134,HOFF ST 0
153,LAGUNA ST 1500
166,LOMBARD ST 2200
167,LOMBARD ST 2300
168,LOMBARD ST 2400
220,POST ST 1900
236,STEINER ST 1500
255,VALENCIA ST 400
256,VALENCIA ST 500
257,VALENCIA ST 600
259,VALENCIA ST 800
260,VALENCIA ST 900
271,WASHINGTON ST 200
279,WEBSTER ST 2100
