,name
5,02ND ST 500
10,03RD ST 500
18,05TH ST 600
48,BLUXOME ST 0
49,BRANNAN ST 200
50,BRANNAN ST 300
51,BRANNAN ST 400
52,BRANNAN ST 500
53,BRYANT ST 300
54,BRYANT ST 400
55,BRYANT ST 500
209,PERRY ST 100
231,SOUTH PARK 0
232,SOUTH PARK 100
251,TOWNSEND ST 300
