,name
1,01ST ST 300
4,02ND ST 400
13,03RD ST 800
17,05TH ST 500
29,AVERY ST 0
122,HARRISON ST 500
128,HAYES ST 100
179,MCALLISTER ST 400
180,MCALLISTER ST 500
184,MISSION ST 200
