,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,2.220446049250313e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,2.220446049250313e-16
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,2.220446049250313e-16
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,2.220446049250313e-16
35,2.220446049250313e-16
36,2.220446049250313e-16
37,2.220446049250313e-16
38,0.00031690540261645973
39,9.242091677519876e-05
40,8.143704845237602e-05
41,0.00015626521039946304
42,9.242091677519876e-05
43,0.00018484183355039753
44,2.220446049250313e-16
45,2.220446049250313e-16
46,0.00013957254870846573
47,2.220446049250313e-16
48,2.220446049250313e-16
49,2.220446049250313e-16
50,2.220446049250313e-16
51,2.220446049250313e-16
52,2.220446049250313e-16
53,2.220446049250313e-16
54,2.220446049250313e-16
55,9.242091677519876e-05
56,2.220446049250313e-16
57,2.220446049250313e-16
58,0.00015626521039946304
59,2.220446049250313e-16
60,0.00016287409690475204
61,2.220446049250313e-16
62,9.242091677519876e-05
63,2.220446049250313e-16
64,2.220446049250313e-16
65,2.220446049250313e-16
66,7.350451602515451e-05
67,2.220446049250313e-16
68,2.220446049250313e-16
69,0.0003605821458693075
70,2.220446049250313e-16
71,8.143704845237602e-05
72,2.220446049250313e-16
73,2.220446049250313e-16
74,2.220446049250313e-16
75,2.220446049250313e-16
76,2.220446049250313e-16
77,2.220446049250313e-16
78,2.220446049250313e-16
79,2.220446049250313e-16
80,2.220446049250313e-16
81,2.220446049250313e-16
82,2.220446049250313e-16
83,2.220446049250313e-16
84,2.220446049250313e-16
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,2.220446049250313e-16
90,2.220446049250313e-16
91,2.220446049250313e-16
92,2.220446049250313e-16
93,2.220446049250313e-16
94,2.220446049250313e-16
95,2.220446049250313e-16
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,2.220446049250313e-16
100,7.350451602515451e-05
101,2.220446049250313e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,2.220446049250313e-16
106,2.220446049250313e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,2.220446049250313e-16
110,2.220446049250313e-16
111,2.220446049250313e-16
112,2.220446049250313e-16
113,2.220446049250313e-16
114,2.220446049250313e-16
115,2.220446049250313e-16
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.220446049250313e-16
119,2.220446049250313e-16
120,2.220446049250313e-16
121,2.220446049250313e-16
122,2.220446049250313e-16
123,2.220446049250313e-16
124,2.220446049250313e-16
125,2.220446049250313e-16
126,9.242091677519876e-05
127,2.220446049250313e-16
128,0.00028658158075877473
129,0.001011220761177809
130,0.001556644740597514
131,0.0032074677623056855
132,0.005823788133213271
133,0.0073789545707711865
134,0.008610357332273283
135,0.0114331667912443
136,0.01311206072250148
137,0.01374826008953982
138,0.013945472089418999
139,0.015265324007406163
140,0.016175022330577285
141,0.015899589440887707
142,0.017440522873758593
143,0.016687224408259354
144,0.01691446165996727
145,0.016933585204290297
146,0.017274101469338377
147,0.015992785545509664
148,0.01763544956218454
149,0.017229328657228468
150,0.017092879940716163
151,0.017432476603894045
152,0.016499052678629656
153,0.01602690606181688
154,0.0147844469356914
155,0.0155376725834779
156,0.01567015036222441
157,0.015505860614364082
158,0.01503387849888551
159,0.016303052232328002
160,0.016605065159527695
161,0.015405569817245687
162,0.015329241118743158
163,0.015272025220357267
164,0.014742104003989192
165,0.013905290064991827
166,0.01360146728700136
167,0.013426771559308522
168,0.01009463446791753
169,0.0036363227497619526
170,0.004262004623201059
171,0.004605894107379369
172,0.0041871764612539724
173,0.006094040511239225
174,0.005303756850921698
175,0.0041871764612539724
176,0.0034893137177116436
177,0.003628886266420109
178,0.0033497411690031776
179,0.002512305876752383
180,0.0016748705845015888
181,0.0012561529383761916
182,0.0012561529383761916
183,0.0011165803896677259
184,0.0008374352922507944
185,0.0005582901948338629
186,0.00013957254870846573
187,2.220446049250313e-16
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,2.220446049250313e-16
192,2.220446049250313e-16
193,2.220446049250313e-16
194,2.220446049250313e-16
195,2.220446049250313e-16
196,2.220446049250313e-16
197,2.220446049250313e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,2.220446049250313e-16
201,2.220446049250313e-16
202,2.220446049250313e-16
203,2.220446049250313e-16
204,2.220446049250313e-16
205,2.220446049250313e-16
206,2.220446049250313e-16
207,2.220446049250313e-16
208,2.220446049250313e-16
209,2.220446049250313e-16
210,2.220446049250313e-16
211,2.220446049250313e-16
212,2.220446049250313e-16
213,2.220446049250313e-16
214,2.220446049250313e-16
215,2.220446049250313e-16
216,2.220446049250313e-16
217,2.220446049250313e-16
218,2.220446049250313e-16
219,2.220446049250313e-16
220,2.220446049250313e-16
221,0.00021440071065555272
222,0.00013957254870846573
223,0.00032441438225886326
224,0.0007902836603175274
225,0.0012177614357067005
226,0.0021171586744904236
227,0.0038630202304558684
228,0.008755981223473
229,0.009978873242645393
230,0.01121466115159373
231,0.013193879658955271
232,0.013095057500359927
233,0.01332989515816621
234,0.012883077429242176
235,0.012247383775805757
236,0.013564867463244918
237,0.014679854231633713
238,0.014008302128822184
239,0.013993304179382621
240,0.015081928399162984
241,0.014461820170707467
242,0.013622017226486352
243,0.014280102169353232
244,0.01484971762447763
245,0.01530174859879662
246,0.015923045646201662
247,0.015839716406441412
248,0.014470840431111704
249,0.01586421719638144
250,0.015126783795736645
251,0.015783988154199492
252,0.015413663946524363
253,0.016247065648925335
254,0.016505060942016626
255,0.016594482430773858
256,0.018480309835293116
257,0.018260676871621685
258,0.018487126045071377
259,0.017642451568835184
260,0.017578327712802898
261,0.018690036492990027
262,0.019149638597923287
263,0.016057085791063297
264,0.012959248566144286
265,0.006609564221586064
266,0.006011703369649735
267,0.005396177767696897
268,0.004820294818034922
269,0.005164184302213232
270,0.004605894107379369
271,0.005535750316405363
272,0.0048850392047963005
273,0.0041871764612539724
274,0.0040476039125455065
275,0.0033497411690031776
276,0.0020935882306269862
277,0.0016748705845015888
278,0.0009770078409592601
279,0.0006978627435423287
280,0.00027914509741693147
281,0.00013957254870846573
282,0.00022100959716084178
283,0.00013957254870846573
284,0.00013957254870846573
285,2.220446049250313e-16
286,2.220446049250313e-16
287,2.220446049250313e-16
288,2.220446049250313e-16
289,2.220446049250313e-16
290,2.220446049250313e-16
291,2.220446049250313e-16
292,2.220446049250313e-16
293,2.220446049250313e-16
294,2.220446049250313e-16
295,2.220446049250313e-16
296,2.220446049250313e-16
297,2.220446049250313e-16
298,2.220446049250313e-16
299,2.220446049250313e-16
300,2.220446049250313e-16
301,2.220446049250313e-16
302,2.220446049250313e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,2.220446049250313e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,2.220446049250313e-16
309,2.220446049250313e-16
310,2.220446049250313e-16
311,2.220446049250313e-16
312,2.220446049250313e-16
313,2.220446049250313e-16
314,2.220446049250313e-16
315,2.220446049250313e-16
316,9.242091677519876e-05
317,0.00027914509741693147
318,0.00027914509741693147
