,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,2.220446049250313e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,2.220446049250313e-16
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,2.220446049250313e-16
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,3.0160245159068575e-05
35,2.220446049250313e-16
36,1.534538119407292e-05
37,2.220446049250313e-16
38,2.220446049250313e-16
39,3.943998510056688e-05
40,3.943998510056688e-05
41,3.8236194783972166e-05
42,6.649111339156256e-05
43,2.220446049250313e-16
44,6.032049031813715e-05
45,2.220446049250313e-16
46,2.220446049250313e-16
47,0.00016698524108719795
48,4.30242097736919e-05
49,9.78775876474487e-05
50,2.220446049250313e-16
51,2.1546110676404453e-05
52,2.220446049250313e-16
53,4.259309282332102e-05
54,2.1546110676404453e-05
55,2.220446049250313e-16
56,0.00013231704343028952
57,2.1546110676404453e-05
58,2.220446049250313e-16
59,5.0941603291767866e-05
60,2.220446049250313e-16
61,3.544007018206854e-05
62,2.603992922143262e-05
63,9.553992249684594e-05
64,0.00011448471732206198
65,2.220446049250313e-16
66,5.609993739627907e-05
67,3.943998510056688e-05
68,2.220446049250313e-16
69,2.220446049250313e-16
70,2.220446049250313e-16
71,2.220446049250313e-16
72,2.603992922143262e-05
73,2.220446049250313e-16
74,4.259309282332102e-05
75,2.220446049250313e-16
76,2.220446049250313e-16
77,2.220446049250313e-16
78,2.220446049250313e-16
79,2.100352432216432e-05
80,2.220446049250313e-16
81,2.220446049250313e-16
82,7.721066633688408e-05
83,2.220446049250313e-16
84,2.6556254782192242e-05
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,2.220446049250313e-16
90,2.220446049250313e-16
91,2.220446049250313e-16
92,2.220446049250313e-16
93,2.220446049250313e-16
94,2.220446049250313e-16
95,3.0160245159068575e-05
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,2.220446049250313e-16
100,2.220446049250313e-16
101,2.220446049250313e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,2.220446049250313e-16
106,2.220446049250313e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,2.220446049250313e-16
110,2.220446049250313e-16
111,2.220446049250313e-16
112,2.220446049250313e-16
113,2.220446049250313e-16
114,2.220446049250313e-16
115,2.220446049250313e-16
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.220446049250313e-16
119,2.220446049250313e-16
120,2.220446049250313e-16
121,4.049154672097403e-05
122,2.220446049250313e-16
123,2.220446049250313e-16
124,2.220446049250313e-16
125,2.220446049250313e-16
126,2.220446049250313e-16
127,2.220446049250313e-16
128,0.00045387170725135737
129,0.0009331178871558511
130,0.0014867372013790622
131,0.0029005486067258048
132,0.005392867048597678
133,0.006263320919642367
134,0.007273315333834706
135,0.008494549184545274
136,0.009986607988238689
137,0.010738873037709554
138,0.011028658425446867
139,0.01234484978837883
140,0.012856589254199684
141,0.013800572810581354
142,0.014298912026232546
143,0.015388794023572452
144,0.016765939538138763
145,0.017109631425536596
146,0.017368385837033564
147,0.0172594782954691
148,0.019116038546297218
149,0.018594939749194364
150,0.017687347190116647
151,0.0171705246441782
152,0.017841241223092257
153,0.01681541935906654
154,0.01594396552809134
155,0.016243976034355918
156,0.015837617809191733
157,0.0158418205901612
158,0.016366120211901158
159,0.01645895626493394
160,0.01728113173177591
161,0.016596830376995265
162,0.016344538800326484
163,0.01696146762862798
164,0.01758703133874893
165,0.018199436733769697
166,0.017723903433417725
167,0.016654193647897348
168,0.011696373483099178
169,0.00012590645905200117
170,5.859654293374674e-05
171,4.931369194176794e-05
172,2.220446049250313e-16
173,2.220446049250313e-16
174,2.220446049250313e-16
175,2.220446049250313e-16
176,5.609993739627907e-05
177,2.220446049250313e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,2.220446049250313e-16
181,2.220446049250313e-16
182,2.220446049250313e-16
183,2.220446049250313e-16
184,2.220446049250313e-16
185,2.220446049250313e-16
186,2.220446049250313e-16
187,2.603992922143262e-05
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,2.220446049250313e-16
192,2.5088588406288904e-05
193,2.220446049250313e-16
194,2.220446049250313e-16
195,2.220446049250313e-16
196,2.220446049250313e-16
197,2.220446049250313e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,4.931369194176794e-05
201,4.931369194176794e-05
202,4.931369194176794e-05
203,4.931369194176794e-05
204,4.931369194176794e-05
205,4.931369194176794e-05
206,4.931369194176794e-05
207,4.931369194176794e-05
208,4.931369194176794e-05
209,4.931369194176794e-05
210,4.931369194176794e-05
211,4.931369194176794e-05
212,4.931369194176794e-05
213,4.931369194176794e-05
214,4.931369194176794e-05
215,4.931369194176794e-05
216,0.0001281936621429017
217,0.0001281936621429017
218,0.0001281936621429017
219,0.00015798214219061476
220,0.00013577778943528896
221,0.00014727940762648993
222,0.0001224981345752923
223,0.00015569557701004816
224,0.0005270342675725276
225,0.0007773811355710217
226,0.0011801012164561135
227,0.0027704034689230916
228,0.00479581669437881
229,0.005795946550041034
230,0.007594502727476217
231,0.008322613982491638
232,0.009695556305389917
233,0.010081977360831947
234,0.010799891298555561
235,0.011768686921336202
236,0.013224969407829319
237,0.014666964422037188
238,0.014943112376392547
239,0.015478133692333985
240,0.017605864024040064
241,0.018114279650360155
242,0.01901526331022437
243,0.019820503677213604
244,0.02013791512010769
245,0.019332921884047356
246,0.01918217288279112
247,0.018049136934466033
248,0.018180894896957314
249,0.01767159207875361
250,0.018159856645563705
251,0.018149185539936295
252,0.01838829621846993
253,0.019203547149869993
254,0.018629720780208203
255,0.017901350207487902
256,0.017636511053893227
257,0.017960198492688227
258,0.018329530953198222
259,0.018917683110248783
260,0.019409023514109645
261,0.020474818073011648
262,0.020352298255390654
263,0.018953268092449967
264,0.012557382411290823
265,7.887997020113376e-05
266,2.220446049250313e-16
267,2.9788480047713057e-05
268,2.220446049250313e-16
269,2.5088588406288904e-05
270,3.544007018206854e-05
271,2.220446049250313e-16
272,2.220446049250313e-16
273,2.220446049250313e-16
274,3.213175990190135e-05
275,2.220446049250313e-16
276,2.220446049250313e-16
277,2.220446049250313e-16
278,2.220446049250313e-16
279,2.220446049250313e-16
280,2.220446049250313e-16
281,2.220446049250313e-16
282,2.220446049250313e-16
283,2.220446049250313e-16
284,2.220446049250313e-16
285,2.220446049250313e-16
286,2.220446049250313e-16
287,5.3112509564384485e-05
288,2.220446049250313e-16
289,4.931369194176794e-05
290,4.931369194176794e-05
291,4.931369194176794e-05
292,4.931369194176794e-05
293,4.931369194176794e-05
294,4.931369194176794e-05
295,4.931369194176794e-05
296,4.931369194176794e-05
297,4.931369194176794e-05
298,4.931369194176794e-05
299,4.931369194176794e-05
300,4.931369194176794e-05
301,4.931369194176794e-05
302,4.931369194176794e-05
303,4.931369194176794e-05
304,4.931369194176794e-05
305,4.931369194176794e-05
306,4.931369194176794e-05
307,4.931369194176794e-05
308,4.931369194176794e-05
309,4.931369194176794e-05
310,4.931369194176794e-05
311,4.931369194176794e-05
312,4.931369194176794e-05
313,4.931369194176794e-05
