,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,2.220446049250313e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,2.220446049250313e-16
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,1.628008757639657e-05
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,3.0124582964276002e-05
34,1.9228952121118648e-05
35,4.027564791216678e-05
36,6.77381924809217e-05
37,2.220446049250313e-16
38,6.95710915545701e-05
39,3.693524933074496e-05
40,4.55466629083379e-05
41,4.422610046243727e-05
42,0.00010146734079067389
43,5.029646675949727e-05
44,5.3572261336674084e-05
45,2.27045552584788e-05
46,9.208684444895419e-05
47,8.431753100461915e-05
48,1.758893234670356e-05
49,0.00012527274527273714
50,4.9023404809866287e-05
51,2.220446049250313e-16
52,7.829927898632821e-05
53,0.00013656828032973772
54,8.79697206796044e-05
55,8.264521086581432e-06
56,2.850210002959319e-05
57,0.00010682211137923148
58,0.00011118834681414223
59,3.738966006754754e-05
60,5.344195012435987e-05
61,0.00011166704072517013
62,2.7389099092496966e-05
63,5.520775482884172e-05
64,5.688891490128525e-06
65,2.220446049250313e-16
66,4.618904807201132e-05
67,2.220446049250313e-16
68,0.00018357679932212354
69,1.9228952121118648e-05
70,0.00012253032285438267
71,2.27045552584788e-05
72,4.68392331816525e-05
73,2.27045552584788e-05
74,2.220446049250313e-16
75,2.220446049250313e-16
76,2.220446049250313e-16
77,2.220446049250313e-16
78,1.0425026089712897e-05
79,5.608449010132131e-05
80,2.220446049250313e-16
81,2.7389099092496966e-05
82,1.9463833626222576e-05
83,2.220446049250313e-16
84,2.220446049250313e-16
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,2.220446049250313e-16
90,2.220446049250313e-16
91,2.220446049250313e-16
92,2.220446049250313e-16
93,2.220446049250313e-16
94,2.220446049250313e-16
95,2.220446049250313e-16
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,2.220446049250313e-16
100,2.220446049250313e-16
101,2.220446049250313e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,2.220446049250313e-16
106,2.220446049250313e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,2.220446049250313e-16
110,2.220446049250313e-16
111,2.220446049250313e-16
112,2.220446049250313e-16
113,2.220446049250313e-16
114,2.220446049250313e-16
115,2.220446049250313e-16
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.220446049250313e-16
119,2.220446049250313e-16
120,2.220446049250313e-16
121,2.220446049250313e-16
122,2.220446049250313e-16
123,3.693524933074496e-05
124,0.00016476445218203728
125,9.231621865296408e-05
126,0.00020960756775888632
127,0.0002898938775500353
128,0.0004419870221518011
129,0.001382287646705656
130,0.002657456233623703
131,0.004603842581426734
132,0.009790923273384574
133,0.012074123392124566
134,0.012922965267996273
135,0.013298748880717802
136,0.013494020471540993
137,0.014347568735641381
138,0.015088925437002115
139,0.01559598915699696
140,0.015564678350127944
141,0.01653921668076014
142,0.016881186833793988
143,0.017479184311293295
144,0.01824848550316698
145,0.018946437168671375
146,0.01870429161254546
147,0.018725777701711816
148,0.018361422691996147
149,0.017868008483090017
150,0.017157589665120872
151,0.017817967564867594
152,0.017738829801423946
153,0.017345691198348417
154,0.017730595424795298
155,0.01787663094048108
156,0.01752457013187946
157,0.01756165350615864
158,0.017718032602824813
159,0.01763784118850055
160,0.01781815602469059
161,0.018055728862810153
162,0.0181623357351061
163,0.018502100719871656
164,0.018772797981745033
165,0.01870173123758214
166,0.01976077040375591
167,0.016913715316945778
168,0.010312023177492323
169,0.00022585407398074904
170,5.458034952213881e-05
171,2.220446049250313e-16
172,4.9353535085394647e-05
173,2.6348424904636025e-05
174,2.033560490434515e-05
175,2.220446049250313e-16
176,2.220446049250313e-16
177,2.220446049250313e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,2.220446049250313e-16
181,2.220446049250313e-16
182,2.7389099092496966e-05
183,2.220446049250313e-16
184,2.220446049250313e-16
185,2.220446049250313e-16
186,2.220446049250313e-16
187,2.220446049250313e-16
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,2.220446049250313e-16
192,2.220446049250313e-16
193,2.220446049250313e-16
194,2.220446049250313e-16
195,2.220446049250313e-16
196,2.220446049250313e-16
197,2.220446049250313e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,2.220446049250313e-16
201,2.220446049250313e-16
202,2.220446049250313e-16
203,2.220446049250313e-16
204,2.220446049250313e-16
205,2.220446049250313e-16
206,2.220446049250313e-16
207,2.220446049250313e-16
208,2.220446049250313e-16
209,2.220446049250313e-16
210,2.220446049250313e-16
211,2.220446049250313e-16
212,2.220446049250313e-16
213,2.220446049250313e-16
214,2.220446049250313e-16
215,2.220446049250313e-16
216,2.6348424904636025e-05
217,2.6348424904636025e-05
218,2.6348424904636025e-05
219,8.921307716608066e-05
220,9.598697570665327e-05
221,0.00018555109077531999
222,0.00019885657729490954
223,0.00024195134950350406
224,0.0007216566997644609
225,0.001328503272343112
226,0.002610845230863808
227,0.004852308971215275
228,0.009805775215791936
229,0.011654853249976681
230,0.012537667094093012
231,0.013047811238766093
232,0.01511526655275254
233,0.014752183834854129
234,0.015049511988831624
235,0.015474379922248274
236,0.01569382528504093
237,0.015853993704465972
238,0.016796530725453673
239,0.016970968054894568
240,0.01769606262351145
241,0.016903172918601665
242,0.01730478099757304
243,0.01770256092101782
244,0.01871294313020173
245,0.01931046925208744
246,0.01927072179541717
247,0.018477454219544727
248,0.01875312774306119
249,0.01785637132088592
250,0.017748340756048187
251,0.017668776895152425
252,0.018017753448182895
253,0.018820192587803396
254,0.017899019938283984
255,0.018505488980625356
256,0.018408373546045517
257,0.01864892952355351
258,0.01891445778662194
259,0.01915763555462403
260,0.018986422422311588
261,0.019413292201067696
262,0.01966368933632682
263,0.017395902122067392
264,0.0104464077796175
265,4.731945917565665e-05
266,5.700420005918638e-05
267,3.7355510419900286e-05
268,2.220446049250313e-16
269,2.220446049250313e-16
270,2.220446049250313e-16
271,2.220446049250313e-16
272,3.138629767924316e-05
273,2.220446049250313e-16
274,2.7389099092496966e-05
275,2.5070161307080895e-05
276,2.6851832874564127e-05
277,2.220446049250313e-16
278,2.220446049250313e-16
279,2.220446049250313e-16
280,2.220446049250313e-16
281,2.220446049250313e-16
282,2.220446049250313e-16
283,2.220446049250313e-16
284,2.220446049250313e-16
285,2.220446049250313e-16
286,2.220446049250313e-16
287,2.220446049250313e-16
288,2.220446049250313e-16
289,2.220446049250313e-16
290,2.220446049250313e-16
291,2.220446049250313e-16
292,2.220446049250313e-16
293,2.220446049250313e-16
294,2.220446049250313e-16
295,2.220446049250313e-16
296,2.220446049250313e-16
297,2.220446049250313e-16
298,2.220446049250313e-16
299,2.220446049250313e-16
300,2.220446049250313e-16
301,2.220446049250313e-16
302,2.220446049250313e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,2.220446049250313e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,2.220446049250313e-16
309,2.220446049250313e-16
310,2.220446049250313e-16
311,2.220446049250313e-16
312,2.220446049250313e-16
313,3.8457904242237295e-05
