,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,2.220446049250313e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,2.220446049250313e-16
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,2.220446049250313e-16
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,2.220446049250313e-16
35,2.220446049250313e-16
36,2.220446049250313e-16
37,2.220446049250313e-16
38,0.00010464151560125282
39,2.220446049250313e-16
40,2.220446049250313e-16
41,2.220446049250313e-16
42,2.220446049250313e-16
43,2.220446049250313e-16
44,2.220446049250313e-16
45,2.220446049250313e-16
46,2.220446049250313e-16
47,2.220446049250313e-16
48,2.220446049250313e-16
49,2.220446049250313e-16
50,2.220446049250313e-16
51,9.567416333641794e-05
52,2.220446049250313e-16
53,2.220446049250313e-16
54,2.220446049250313e-16
55,2.220446049250313e-16
56,2.220446049250313e-16
57,2.220446049250313e-16
58,5.5706433297009924e-05
59,2.220446049250313e-16
60,2.220446049250313e-16
61,0.0001334956974302182
62,2.220446049250313e-16
63,2.220446049250313e-16
64,2.220446049250313e-16
65,0.0001334956974302182
66,2.220446049250313e-16
67,2.220446049250313e-16
68,2.220446049250313e-16
69,0.0001334956974302182
70,2.220446049250313e-16
71,2.220446049250313e-16
72,2.220446049250313e-16
73,2.220446049250313e-16
74,2.220446049250313e-16
75,2.220446049250313e-16
76,2.220446049250313e-16
77,2.220446049250313e-16
78,2.220446049250313e-16
79,2.220446049250313e-16
80,2.220446049250313e-16
81,2.220446049250313e-16
82,2.220446049250313e-16
83,2.220446049250313e-16
84,2.220446049250313e-16
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,2.220446049250313e-16
90,2.220446049250313e-16
91,2.220446049250313e-16
92,2.220446049250313e-16
93,2.220446049250313e-16
94,2.220446049250313e-16
95,2.220446049250313e-16
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,2.220446049250313e-16
100,2.220446049250313e-16
101,2.220446049250313e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,2.220446049250313e-16
106,2.220446049250313e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,2.220446049250313e-16
110,2.220446049250313e-16
111,2.220446049250313e-16
112,2.220446049250313e-16
113,2.220446049250313e-16
114,2.220446049250313e-16
115,5.653002426024456e-05
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.220446049250313e-16
119,2.220446049250313e-16
120,2.220446049250313e-16
121,0.00011256070010807317
122,0.00023970221602176783
123,0.0007499003936035854
124,0.003057550522681329
125,0.004296885231536786
126,0.0047346321434401884
127,0.0060807497804376415
128,0.006473566295848751
129,0.008258020697978081
130,0.009546060935030081
131,0.009601150513010876
132,0.011699326852999419
133,0.01232931888470762
134,0.013184995310684552
135,0.014261917439979266
136,0.016134027823501717
137,0.016194074292373437
138,0.017063081862952623
139,0.017020980966962276
140,0.017940960118058815
141,0.016594863179049447
142,0.017049259781226636
143,0.017042820880099365
144,0.01710686421544294
145,0.01685689447492592
146,0.016275900212852096
147,0.015651186843121456
148,0.015368132709714277
149,0.016481185344452105
150,0.01551552967352784
151,0.01572821770096021
152,0.015202907157859493
153,0.015141337113517093
154,0.014456666137125075
155,0.015574603368752285
156,0.014900805069809906
157,0.013859714112383223
158,0.015028434810267662
159,0.01608433103038008
160,0.015842600145517853
161,0.015341275554693508
162,0.01649057013805854
163,0.017758713157302534
164,0.01846666200261251
165,0.019154518844214225
166,0.01877388837574918
167,0.017469681671824607
168,0.011798196635591734
169,5.5706433297009924e-05
170,2.220446049250313e-16
171,2.220446049250313e-16
172,2.220446049250313e-16
173,2.220446049250313e-16
174,2.220446049250313e-16
175,2.220446049250313e-16
176,2.220446049250313e-16
177,2.220446049250313e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,2.220446049250313e-16
181,2.220446049250313e-16
182,2.220446049250313e-16
183,2.220446049250313e-16
184,2.220446049250313e-16
185,2.220446049250313e-16
186,2.220446049250313e-16
187,2.220446049250313e-16
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,2.220446049250313e-16
192,2.220446049250313e-16
193,2.220446049250313e-16
194,2.220446049250313e-16
195,2.220446049250313e-16
196,2.220446049250313e-16
197,2.220446049250313e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,2.220446049250313e-16
201,2.220446049250313e-16
202,2.220446049250313e-16
203,2.220446049250313e-16
204,2.220446049250313e-16
205,2.220446049250313e-16
206,2.220446049250313e-16
207,2.220446049250313e-16
208,2.220446049250313e-16
209,2.220446049250313e-16
210,2.220446049250313e-16
211,2.220446049250313e-16
212,2.220446049250313e-16
213,2.220446049250313e-16
214,2.220446049250313e-16
215,2.220446049250313e-16
216,0.00011574581445974057
217,0.00029142326916785003
218,0.0006741604784880269
219,0.001334914052281615
220,0.003549662411123546
221,0.0046880607228081995
222,0.004586397245750927
223,0.006659684536288365
224,0.0063665995820798935
225,0.008335930270147661
226,0.009073765887071442
227,0.010612235477944298
228,0.011664002340673078
229,0.012182169962276546
230,0.013134846536553226
231,0.01432562981227061
232,0.014440753875606588
233,0.014826435925340262
234,0.014921591759904346
235,0.015170981742952908
236,0.015022540838077369
237,0.014450190195688599
238,0.0144551356520565
239,0.015343738549481404
240,0.01497169306787211
241,0.015062935712961027
242,0.014029470132168475
243,0.014410935981507255
244,0.014495808424696742
245,0.013916409664895869
246,0.01522700284128739
247,0.0150162244067292
248,0.014760659445157453
249,0.013905464966993018
250,0.013988672304122636
251,0.015990963311527412
252,0.016817591231415723
253,0.01565200250257241
254,0.01666946019417138
255,0.016891801220946658
256,0.01744537897228354
257,0.016091708015340912
258,0.016959455103291568
259,0.01695436755089546
260,0.01735288472552288
261,0.018672131148558143
262,0.019289856578280886
263,0.019038395874439753
264,0.013744832866449104
265,2.220446049250313e-16
266,2.220446049250313e-16
267,2.220446049250313e-16
268,1.2235918536484008e-05
269,2.220446049250313e-16
270,2.220446049250313e-16
271,0.0002785321664850496
272,2.220446049250313e-16
273,2.220446049250313e-16
274,0.0002669913948604364
275,2.220446049250313e-16
276,2.220446049250313e-16
277,2.220446049250313e-16
278,2.220446049250313e-16
279,2.220446049250313e-16
280,2.220446049250313e-16
281,2.220446049250313e-16
282,2.220446049250313e-16
283,2.220446049250313e-16
284,2.220446049250313e-16
285,2.220446049250313e-16
286,2.220446049250313e-16
287,2.220446049250313e-16
288,2.220446049250313e-16
289,2.220446049250313e-16
290,2.220446049250313e-16
291,2.220446049250313e-16
292,2.220446049250313e-16
293,2.220446049250313e-16
294,2.220446049250313e-16
295,2.220446049250313e-16
296,2.220446049250313e-16
297,2.220446049250313e-16
298,2.220446049250313e-16
299,2.220446049250313e-16
300,2.220446049250313e-16
301,2.220446049250313e-16
302,2.220446049250313e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,2.220446049250313e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,2.220446049250313e-16
309,2.220446049250313e-16
310,2.220446049250313e-16
311,0.00011306004852048912
312,0.0003166984791381689
313,0.0004429130958807861
314,0.0004429130958807861
315,0.0008414108254784887
316,0.0019098461995991833
