,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,2.220446049250313e-16
6,2.220446049250313e-16
7,2.220446049250313e-16
8,2.220446049250313e-16
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,2.220446049250313e-16
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,2.220446049250313e-16
35,2.220446049250313e-16
36,2.220446049250313e-16
37,2.220446049250313e-16
38,2.220446049250313e-16
39,2.220446049250313e-16
40,2.220446049250313e-16
41,2.220446049250313e-16
42,2.220446049250313e-16
43,0.00015689220599514426
44,2.220446049250313e-16
45,2.220446049250313e-16
46,2.220446049250313e-16
47,2.220446049250313e-16
48,0.00015141735416044526
49,2.220446049250313e-16
50,2.220446049250313e-16
51,2.220446049250313e-16
52,2.220446049250313e-16
53,2.220446049250313e-16
54,2.220446049250313e-16
55,0.00017751187633567624
56,2.220446049250313e-16
57,2.220446049250313e-16
58,2.220446049250313e-16
59,2.220446049250313e-16
60,2.220446049250313e-16
61,0.00015141735416044526
62,2.220446049250313e-16
63,2.220446049250313e-16
64,2.220446049250313e-16
65,2.220446049250313e-16
66,2.220446049250313e-16
67,0.00017751187633567624
68,2.220446049250313e-16
69,0.00013910636991515589
70,2.220446049250313e-16
71,0.0002663952460517033
72,2.220446049250313e-16
73,2.220446049250313e-16
74,2.220446049250313e-16
75,0.00017751187633567624
76,2.220446049250313e-16
77,2.220446049250313e-16
78,2.220446049250313e-16
79,2.220446049250313e-16
80,2.220446049250313e-16
81,2.220446049250313e-16
82,2.220446049250313e-16
83,2.220446049250313e-16
84,2.220446049250313e-16
85,2.220446049250313e-16
86,2.220446049250313e-16
87,2.220446049250313e-16
88,2.220446049250313e-16
89,2.220446049250313e-16
90,2.220446049250313e-16
91,2.220446049250313e-16
92,2.220446049250313e-16
93,2.220446049250313e-16
94,2.220446049250313e-16
95,2.220446049250313e-16
96,2.220446049250313e-16
97,2.220446049250313e-16
98,2.220446049250313e-16
99,2.220446049250313e-16
100,2.220446049250313e-16
101,2.220446049250313e-16
102,2.220446049250313e-16
103,2.220446049250313e-16
104,2.220446049250313e-16
105,2.220446049250313e-16
106,2.220446049250313e-16
107,2.220446049250313e-16
108,2.220446049250313e-16
109,2.220446049250313e-16
110,2.220446049250313e-16
111,2.220446049250313e-16
112,2.220446049250313e-16
113,2.220446049250313e-16
114,2.220446049250313e-16
115,2.220446049250313e-16
116,2.220446049250313e-16
117,2.220446049250313e-16
118,2.220446049250313e-16
119,2.220446049250313e-16
120,2.220446049250313e-16
121,2.220446049250313e-16
122,2.220446049250313e-16
123,0.00010950304005655907
124,0.00015689220599514426
125,2.220446049250313e-16
126,2.220446049250313e-16
127,2.220446049250313e-16
128,0.0003550237526713525
129,0.0003550237526713525
130,0.00042457693762893047
131,0.000753506168125052
132,0.0025365348785250917
133,0.003779142040483935
134,0.004515888641437858
135,0.0056043496903662934
136,0.00902149295338744
137,0.009730572344728863
138,0.009779656165361387
139,0.011636112582631482
140,0.013884778869841055
141,0.012971637217006428
142,0.014960670699431373
143,0.014193698916507494
144,0.015211332515727987
145,0.014842917060531419
146,0.015062986466261776
147,0.017495351479367486
148,0.01806054114279235
149,0.017309585108369364
150,0.017726758940102637
151,0.01773693623623688
152,0.019674720088897295
153,0.01855207823753986
154,0.01865584069901425
155,0.018142360079757353
156,0.01772918861355286
157,0.017292130257768348
158,0.01943446135434336
159,0.020782403705212716
160,0.020909266193134223
161,0.020175574769981573
162,0.017093619668784338
163,0.01901366575431523
164,0.020423880453841487
165,0.01921224404129927
166,0.020027393371488796
167,0.018889368755603698
168,0.012878122761138736
169,2.220446049250313e-16
170,2.220446049250313e-16
171,0.00015689220599514426
172,2.220446049250313e-16
173,2.220446049250313e-16
174,2.220446049250313e-16
175,2.220446049250313e-16
176,2.220446049250313e-16
177,2.220446049250313e-16
178,2.220446049250313e-16
179,2.220446049250313e-16
180,2.220446049250313e-16
181,2.220446049250313e-16
182,2.220446049250313e-16
183,2.220446049250313e-16
184,2.220446049250313e-16
185,2.220446049250313e-16
186,2.220446049250313e-16
187,2.220446049250313e-16
188,2.220446049250313e-16
189,2.220446049250313e-16
190,2.220446049250313e-16
191,2.220446049250313e-16
192,2.220446049250313e-16
193,2.220446049250313e-16
194,2.220446049250313e-16
195,2.220446049250313e-16
196,2.220446049250313e-16
197,2.220446049250313e-16
198,2.220446049250313e-16
199,2.220446049250313e-16
200,2.220446049250313e-16
201,2.220446049250313e-16
202,2.220446049250313e-16
203,2.220446049250313e-16
204,2.220446049250313e-16
205,2.220446049250313e-16
206,2.220446049250313e-16
207,2.220446049250313e-16
208,2.220446049250313e-16
209,2.220446049250313e-16
210,2.220446049250313e-16
211,2.220446049250313e-16
212,2.220446049250313e-16
213,2.220446049250313e-16
214,2.220446049250313e-16
215,2.220446049250313e-16
216,2.220446049250313e-16
217,2.220446049250313e-16
218,2.220446049250313e-16
219,2.220446049250313e-16
220,2.220446049250313e-16
221,2.220446049250313e-16
222,2.220446049250313e-16
223,2.220446049250313e-16
224,2.220446049250313e-16
225,0.00022072275038476018
226,0.0002902759353423381
227,0.0015116579120151316
228,0.0036533177869822976
229,0.005155392451420306
230,0.006395678435105985
231,0.006963128492911941
232,0.008607398018164526
233,0.009864262019546675
234,0.01253663373358794
235,0.012362146565086949
236,0.013339140207951145
237,0.015010680433951588
238,0.016704912398037723
239,0.01759702795976099
240,0.02114882254268374
241,0.022529339835370518
242,0.020624935638077352
243,0.019798488328007197
244,0.021852774443399826
245,0.022906684551394777
246,0.02163859785683337
247,0.021241883445109046
248,0.02051596247059238
249,0.02068851021126132
250,0.02000056141068341
251,0.01875254848424613
252,0.018134858234250147
253,0.01882040176799309
254,0.018170003523249635
255,0.017631373297705522
256,0.01741135422285207
257,0.01805853671845063
258,0.01961841488666461
259,0.018707448104941064
260,0.018803566438089888
261,0.019002529330596526
262,0.018928053395439
263,0.018027707136582277
264,0.011237433766681642
265,0.00017751187633567624
266,0.00022672879659926167
267,2.220446049250313e-16
268,0.00010950304005655907
269,2.220446049250313e-16
270,2.220446049250313e-16
271,2.220446049250313e-16
272,2.220446049250313e-16
273,2.220446049250313e-16
274,2.220446049250313e-16
275,0.00015689220599514426
276,2.220446049250313e-16
277,2.220446049250313e-16
278,2.220446049250313e-16
279,2.220446049250313e-16
280,2.220446049250313e-16
281,0.00015689220599514426
282,2.220446049250313e-16
283,2.220446049250313e-16
284,2.220446049250313e-16
285,0.00021900608011311815
286,2.220446049250313e-16
287,2.220446049250313e-16
288,2.220446049250313e-16
289,2.220446049250313e-16
290,2.220446049250313e-16
291,2.220446049250313e-16
292,2.220446049250313e-16
293,2.220446049250313e-16
294,2.220446049250313e-16
295,2.220446049250313e-16
296,2.220446049250313e-16
297,2.220446049250313e-16
298,2.220446049250313e-16
299,2.220446049250313e-16
300,2.220446049250313e-16
301,2.220446049250313e-16
302,2.220446049250313e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,2.220446049250313e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,2.220446049250313e-16
309,2.220446049250313e-16
310,2.220446049250313e-16
311,2.220446049250313e-16
312,2.220446049250313e-16
313,2.220446049250313e-16
314,2.220446049250313e-16
